
type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
PAYMENT,9839.64,170136,160296.36,0,0,0
PAYMENT,1864.28,21249,19384.72,0,0,0
TRANSFER,181,181,0,0,181,1
CASH_OUT,181,181,0,181,0,1
PAYMENT,11668.14,41554,29885.86,0,0,0
PAYMENT,7817.71,53860,46042.29,0,0,0
TRANSFER,10000,160296.36,150296.36,0,10000,0
CASH_IN,10000,0,10000,150296.36,160296.36,0
TRANSFER,7107.77,154091.48,146983.71,43941.85,51049.62,0
CASH_OUT,5177.04,6623.67,1446.63,2579619.6,2584796.64,0
TRANSFER,92562.62,1236863.67,1144301.05,0,0,1
CASH_OUT,302035.47,5059941.59,4757906.12,658203.71,960239.18,1
TRANSFER,850000,850000,0,2669181.56,3519181.56,1
PAYMENT,7683.44,15102.58,7419.14,0,0,0
TRANSFER,45000,98412.31,53412.31,2345.78,47345.78,0
